ID
sunrise-value
min-temp-value
wind-speed-value
cloudiness-value
sunset-value
max-temp-value
pressure-value
visibility-value
sunrise-value-mobile
sunset-value-mobile
min-temp-value-mobile
max-temp-value-mobile
wind-speed-value-mobile
cloudiness-value-mobile
pressure-value-mobile
visibility-value-mobile
